Card Number,Name,Rarity,Type,HP,Stage,Points
A1 001,"Bulbasaur",◇,Mewtwo,70,Basic,35
A1 002,"Ivysaur",◇◇,Mewtwo,90,Stage 1,70
A1 003,"Venusaur",◇◇◇,Mewtwo,160,Stage 2,150
A1 004,"Venusaur ex",◇◇◇◇,Mewtwo,190,Stage 2,500
A1 005,"Caterpie",◇,Pikachu,50,Basic,35
A1 006,"Metapod",◇,Pikachu,80,Stage 1,35
A1 007,"Butterfree",◇◇◇,Pikachu,120,Stage 2,150
A1 008,"Weedle",◇,Mewtwo,50,Basic,35
A1 009,"Kakuna",◇,Mewtwo,80,Stage 1,35
A1 010,"Beedrill",◇◇◇,Mewtwo,120,Stage 2,150
A1 011,"Oddish",◇,Charizard,60,Basic,35
A1 012,"Gloom",◇◇,Charizard,80,Stage 1,70
A1 013,"Vileplume",◇◇◇,Charizard,140,Stage 2,150
A1 014,"Paras",◇,Pikachu,70,Basic,35
A1 015,"Parasect",◇◇,Pikachu,120,Stage 1,70
A1 016,"Venonat",◇,Mewtwo,60,Basic,35
A1 017,"Venomoth",◇◇,Mewtwo,80,Stage 1,70
A1 018,"Bellsprout",◇,Charizard,60,Basic,35
A1 019,"Weepinbell",◇◇,Charizard,90,Stage 1,70
A1 020,"Victreebel",◇◇◇,Charizard,140,Stage 2,150
A1 021,"Exeggcute",◇,Charizard,50,Basic,35
A1 022,"Exeggutor",◇◇◇,Charizard,130,Stage 1,150
A1 023,"Exeggutor ex",◇◇◇◇,Charizard,160,Stage 1,500
A1 024,"Tangela",◇,Charizard,80,Basic,35
A1 025,"Scyther",◇,Mewtwo,70,Basic,35
A1 026,"Pinsir",◇◇,Any,90,Basic,70
A1 027,"Cottonee",◇,Any,50,Basic,35
A1 028,"Whimsicott",◇◇,Any,80,Stage 1,70
A1 029,"Petilil",◇,Any,60,Basic,35
A1 030,"Lilligant",◇◇,Any,100,Stage 1,70
A1 031,"Skiddo",◇,Charizard,70,Basic,35
A1 032,"Gogoat",◇,Charizard,120,Stage 1,35
A1 033,"Charmander",◇,Charizard,60,Basic,35
A1 034,"Charmeleon",◇◇,Charizard,90,Stage 1,70
A1 035,"Charizard",◇◇◇,Charizard,150,Stage 2,150
A1 036,"Charizard ex",◇◇◇◇,Charizard,180,Stage 2,500
A1 037,"Vulpix",◇,Charizard,50,Basic,35
A1 038,"Ninetales",◇◇,Charizard,90,Stage 1,70
A1 039,"Growlithe",◇,Pikachu,70,Basic,35
A1 040,"Arcanine",◇◇◇,Pikachu,130,Stage 1,150
A1 041,"Arcanine ex",◇◇◇◇,Pikachu,150,Stage 1,500
A1 042,"Ponyta",◇,Any,60,Basic,35
A1 043,"Rapidash",◇◇,Any,100,Stage 1,70
A1 044,"Magmar",◇,Charizard,80,Basic,35
A1 045,"Flareon",◇◇◇,Charizard,120,Stage 1,150
A1 046,"Moltres",◇◇◇,Charizard,100,Basic,150
A1 047,"Moltres ex",◇◇◇◇,Charizard,140,Basic,500
A1 048,"Heatmor",◇,Any,80,Basic,35
A1 049,"Salandit",◇,Mewtwo,60,Basic,35
A1 050,"Salazzle",◇,Mewtwo,90,Stage 1,35
A1 051,"Sizzlipede",◇,Any,60,Basic,35
A1 052,"Centiskorch",◇◇,Any,130,Stage 1,70
A1 053,"Squirtle",◇,Pikachu,60,Basic,35
A1 054,"Wartortle",◇◇,Pikachu,80,Stage 1,70
A1 055,"Blastoise",◇◇◇,Pikachu,150,Stage 2,150
A1 056,"Blastoise ex",◇◇◇◇,Pikachu,180,Stage 2,500
A1 057,"Psyduck",◇,Any,60,Basic,35
A1 058,"Golduck",◇◇,Any,90,Stage 1,70
A1 059,"Poliwag",◇,Charizard,60,Basic,35
A1 060,"Poliwhirl",◇◇,Charizard,90,Stage 1,70
A1 061,"Poliwrath",◇◇◇,Charizard,150,Stage 2,150
A1 062,"Tentacool",◇,Mewtwo,60,Basic,35
A1 063,"Tentacruel",◇◇,Mewtwo,110,Stage 1,70
A1 064,"Seel",◇,Pikachu,80,Basic,35
A1 065,"Dewgong",◇◇,Pikachu,120,Stage 1,70
A1 066,"Shellder",◇,Mewtwo,60,Basic,35
A1 067,"Cloyster",◇◇,Mewtwo,120,Stage 1,70
A1 068,"Krabby",◇,Mewtwo,70,Basic,35
A1 069,"Kingler",◇◇,Mewtwo,120,Stage 1,70
