deck1,deck2,wins,losses,ties,total,win_rate
arcanine-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,28,28,1,57,49.7
arcanine-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,28,28,1,57,49.7
arcanine-ex-moltres-ex-a1,celebi-ex-serperior-a1a,43,16,4,63,70.4
celebi-ex-serperior-a1a,arcanine-ex-moltres-ex-a1,16,43,4,63,27.5
arcanine-ex-moltres-ex-a1,charizard-ex-arcanine-ex-a1,10,21,0,31,32.3
charizard-ex-arcanine-ex-a1,arcanine-ex-moltres-ex-a1,21,10,0,31,67.7
arcanine-ex-moltres-ex-a1,charizard-ex-moltres-ex-a1,37,39,5,81,47.7
charizard-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,39,37,5,81,50.2
arcanine-ex-moltres-ex-a1,darkrai-ex-a2-greninja-a1,1,1,0,2,
darkrai-ex-a2-greninja-a1,arcanine-ex-moltres-ex-a1,1,1,0,2,
arcanine-ex-moltres-ex-a1,darkrai-ex-magnezone-a2,3,1,0,4,
darkrai-ex-magnezone-a2,arcanine-ex-moltres-ex-a1,1,3,0,4,
arcanine-ex-moltres-ex-a1,dialga-ex-a2-melmetal-a1,1,3,0,4,
dialga-ex-a2-melmetal-a1,arcanine-ex-moltres-ex-a1,3,1,0,4,
arcanine-ex-moltres-ex-a1,exeggutor-ex-a1-celebi-ex-a1a,74,45,8,127,60.4
exeggutor-ex-a1-celebi-ex-a1a,arcanine-ex-moltres-ex-a1,45,74,8,127,37.5
arcanine-ex-moltres-ex-a1,exeggutor-ex-a1-mew-ex-a1a,14,12,4,30,51.1
exeggutor-ex-a1-mew-ex-a1a,arcanine-ex-moltres-ex-a1,12,14,4,30,44.4
arcanine-ex-moltres-ex-a1,gyarados-ex-a1a-greninja-a1,33,129,10,172,21.1
gyarados-ex-a1a-greninja-a1,arcanine-ex-moltres-ex-a1,129,33,10,172,76.9
arcanine-ex-moltres-ex-a1,magnezone-a2-hitmonlee-a1,0,2,1,3,
magnezone-a2-hitmonlee-a1,arcanine-ex-moltres-ex-a1,2,0,1,3,
arcanine-ex-moltres-ex-a1,mewtwo-ex-gardevoir-a1,134,124,27,285,50.2
mewtwo-ex-gardevoir-a1,arcanine-ex-moltres-ex-a1,124,134,27,285,46.7
arcanine-ex-moltres-ex-a1,palkia-ex-a2-vaporeon-a1a,0,7,0,7,0.0
palkia-ex-a2-vaporeon-a1a,arcanine-ex-moltres-ex-a1,7,0,0,7,100.0
arcanine-ex-moltres-ex-a1,pikachu-ex-zebstrika-a1,97,58,6,161,61.5
pikachu-ex-zebstrika-a1,arcanine-ex-moltres-ex-a1,58,97,6,161,37.3
arcanine-ex-moltres-ex-a1,weavile-ex-darkrai-ex-a2,2,3,0,5,40.0
weavile-ex-darkrai-ex-a2,arcanine-ex-moltres-ex-a1,3,2,0,5,60.0
celebi-ex-serperior-a1a,celebi-ex-serperior-a1a,60,60,3,123,49.6
celebi-ex-serperior-a1a,celebi-ex-serperior-a1a,60,60,3,123,49.6
celebi-ex-serperior-a1a,charizard-ex-arcanine-ex-a1,12,46,3,61,21.3
charizard-ex-arcanine-ex-a1,celebi-ex-serperior-a1a,46,12,3,61,77.0
celebi-ex-serperior-a1a,charizard-ex-moltres-ex-a1,63,91,15,169,40.2
charizard-ex-moltres-ex-a1,celebi-ex-serperior-a1a,91,63,15,169,56.8
celebi-ex-serperior-a1a,darkrai-ex-a2-greninja-a1,14,23,3,40,37.5
darkrai-ex-a2-greninja-a1,celebi-ex-serperior-a1a,23,14,3,40,60.0
celebi-ex-serperior-a1a,darkrai-ex-magnezone-a2,36,60,4,100,37.3
darkrai-ex-magnezone-a2,celebi-ex-serperior-a1a,60,36,4,100,61.3
celebi-ex-serperior-a1a,dialga-ex-a2-melmetal-a1,9,11,2,22,43.9
dialga-ex-a2-melmetal-a1,celebi-ex-serperior-a1a,11,9,2,22,53.0
celebi-ex-serperior-a1a,exeggutor-ex-a1-celebi-ex-a1a,95,115,18,228,44.3
exeggutor-ex-a1-celebi-ex-a1a,celebi-ex-serperior-a1a,115,95,18,228,53.1
celebi-ex-serperior-a1a,exeggutor-ex-a1-mew-ex-a1a,23,21,2,46,51.4
exeggutor-ex-a1-mew-ex-a1a,celebi-ex-serperior-a1a,21,23,2,46,47.1
celebi-ex-serperior-a1a,gyarados-ex-a1a-greninja-a1,99,198,21,318,33.3
gyarados-ex-a1a-greninja-a1,celebi-ex-serperior-a1a,198,99,21,318,64.5
celebi-ex-serperior-a1a,magnezone-a2-hitmonlee-a1,9,9,0,18,50.0
magnezone-a2-hitmonlee-a1,celebi-ex-serperior-a1a,9,9,0,18,50.0
celebi-ex-serperior-a1a,mewtwo-ex-gardevoir-a1,177,231,39,447,42.5
mewtwo-ex-gardevoir-a1,celebi-ex-serperior-a1a,231,177,39,447,54.6
celebi-ex-serperior-a1a,palkia-ex-a2-vaporeon-a1a,32,47,10,89,39.7
palkia-ex-a2-vaporeon-a1a,celebi-ex-serperior-a1a,47,32,10,89,56.6
celebi-ex-serperior-a1a,pikachu-ex-zebstrika-a1,121,73,15,209,60.3
pikachu-ex-zebstrika-a1,celebi-ex-serperior-a1a,73,121,15,209,37.3
celebi-ex-serperior-a1a,weavile-ex-darkrai-ex-a2,24,18,6,48,54.2
weavile-ex-darkrai-ex-a2,celebi-ex-serperior-a1a,18,24,6,48,41.7
charizard-ex-arcanine-ex-a1,charizard-ex-arcanine-ex-a1,16,16,1,33,49.5
charizard-ex-arcanine-ex-a1,charizard-ex-arcanine-ex-a1,16,16,1,33,49.5
charizard-ex-arcanine-ex-a1,charizard-ex-moltres-ex-a1,23,27,5,55,44.8
charizard-ex-moltres-ex-a1,charizard-ex-arcanine-ex-a1,27,23,5,55,52.1
charizard-ex-arcanine-ex-a1,darkrai-ex-a2-greninja-a1,1,2,0,3,
darkrai-ex-a2-greninja-a1,charizard-ex-arcanine-ex-a1,2,1,0,3,
charizard-ex-arcanine-ex-a1,darkrai-ex-magnezone-a2,1,13,1,15,8.9
darkrai-ex-magnezone-a2,charizard-ex-arcanine-ex-a1,13,1,1,15,88.9
charizard-ex-arcanine-ex-a1,dialga-ex-a2-melmetal-a1,0,2,0,2,
dialga-ex-a2-melmetal-a1,charizard-ex-arcanine-ex-a1,2,0,0,2,
charizard-ex-arcanine-ex-a1,exeggutor-ex-a1-celebi-ex-a1a,71,40,2,113,63.4
exeggutor-ex-a1-celebi-ex-a1a,charizard-ex-arcanine-ex-a1,40,71,2,113,36.0
charizard-ex-arcanine-ex-a1,exeggutor-ex-a1-mew-ex-a1a,10,8,0,18,55.6
exeggutor-ex-a1-mew-ex-a1a,charizard-ex-arcanine-ex-a1,8,10,0,18,44.4
charizard-ex-arcanine-ex-a1,gyarados-ex-a1a-greninja-a1,78,79,7,164,49.0
gyarados-ex-a1a-greninja-a1,charizard-ex-arcanine-ex-a1,79,78,7,164,49.6
charizard-ex-arcanine-ex-a1,magnezone-a2-hitmonlee-a1,1,1,0,2,
magnezone-a2-hitmonlee-a1,charizard-ex-arcanine-ex-a1,1,1,0,2,
charizard-ex-arcanine-ex-a1,mewtwo-ex-gardevoir-a1,80,143,9,232,35.8
mewtwo-ex-gardevoir-a1,charizard-ex-arcanine-ex-a1,143,80,9,232,62.9
charizard-ex-arcanine-ex-a1,palkia-ex-a2-vaporeon-a1a,4,12,2,18,25.9
palkia-ex-a2-vaporeon-a1a,charizard-ex-arcanine-ex-a1,12,4,2,18,70.4
charizard-ex-arcanine-ex-a1,pikachu-ex-zebstrika-a1,66,58,4,128,52.6
pikachu-ex-zebstrika-a1,charizard-ex-arcanine-ex-a1,58,66,4,128,46.4
charizard-ex-arcanine-ex-a1,weavile-ex-darkrai-ex-a2,1,4,1,6,22.2
weavile-ex-darkrai-ex-a2,charizard-ex-arcanine-ex-a1,4,1,1,6,72.2
charizard-ex-moltres-ex-a1,charizard-ex-moltres-ex-a1,189,189,13,391,49.4
charizard-ex-moltres-ex-a1,charizard-ex-moltres-ex-a1,189,189,13,391,49.4
charizard-ex-moltres-ex-a1,darkrai-ex-a2-greninja-a1,61,110,12,183,35.5
darkrai-ex-a2-greninja-a1,charizard-ex-moltres-ex-a1,110,61,12,183,62.3
charizard-ex-moltres-ex-a1,darkrai-ex-magnezone-a2,194,247,17,458,43.6
darkrai-ex-magnezone-a2,charizard-ex-moltres-ex-a1,247,194,17,458,55.2
charizard-ex-moltres-ex-a1,dialga-ex-a2-melmetal-a1,55,31,8,94,61.3
dialga-ex-a2-melmetal-a1,charizard-ex-moltres-ex-a1,31,55,8,94,35.8
charizard-ex-moltres-ex-a1,exeggutor-ex-a1-celebi-ex-a1a,268,118,27,413,67.1
exeggutor-ex-a1-celebi-ex-a1a,charizard-ex-moltres-ex-a1,118,268,27,413,30.8
charizard-ex-moltres-ex-a1,exeggutor-ex-a1-mew-ex-a1a,57,51,6,114,51.8
exeggutor-ex-a1-mew-ex-a1a,charizard-ex-moltres-ex-a1,51,57,6,114,46.5
charizard-ex-moltres-ex-a1,gyarados-ex-a1a-greninja-a1,202,265,31,498,42.6
gyarados-ex-a1a-greninja-a1,charizard-ex-moltres-ex-a1,265,202,31,498,55.3
charizard-ex-moltres-ex-a1,magnezone-a2-hitmonlee-a1,26,103,10,139,21.1
magnezone-a2-hitmonlee-a1,charizard-ex-moltres-ex-a1,103,26,10,139,76.5
charizard-ex-moltres-ex-a1,mewtwo-ex-gardevoir-a1,235,259,34,528,46.7
mewtwo-ex-gardevoir-a1,charizard-ex-moltres-ex-a1,259,235,34,528,51.2
charizard-ex-moltres-ex-a1,palkia-ex-a2-vaporeon-a1a,132,141,11,284,47.8
palkia-ex-a2-vaporeon-a1a,charizard-ex-moltres-ex-a1,141,132,11,284,50.9
charizard-ex-moltres-ex-a1,pikachu-ex-zebstrika-a1,102,141,15,258,41.5
pikachu-ex-zebstrika-a1,charizard-ex-moltres-ex-a1,141,102,15,258,56.6
charizard-ex-moltres-ex-a1,weavile-ex-darkrai-ex-a2,97,96,8,201,49.6
weavile-ex-darkrai-ex-a2,charizard-ex-moltres-ex-a1,96,97,8,201,49.1
darkrai-ex-a2-greninja-a1,darkrai-ex-a2-greninja-a1,80,80,3,163,49.7
darkrai-ex-a2-greninja-a1,darkrai-ex-a2-greninja-a1,80,80,3,163,49.7
darkrai-ex-a2-greninja-a1,darkrai-ex-magnezone-a2,189,105,8,302,63.5
darkrai-ex-magnezone-a2,darkrai-ex-a2-greninja-a1,105,189,8,302,35.7
darkrai-ex-a2-greninja-a1,dialga-ex-a2-melmetal-a1,23,19,5,47,52.5
dialga-ex-a2-melmetal-a1,darkrai-ex-a2-greninja-a1,19,23,5,47,44.0
darkrai-ex-a2-greninja-a1,exeggutor-ex-a1-celebi-ex-a1a,75,87,5,167,45.9
exeggutor-ex-a1-celebi-ex-a1a,darkrai-ex-a2-greninja-a1,87,75,5,167,53.1
darkrai-ex-a2-greninja-a1,exeggutor-ex-a1-mew-ex-a1a,21,32,4,57,39.2
exeggutor-ex-a1-mew-ex-a1a,darkrai-ex-a2-greninja-a1,32,21,4,57,58.5
darkrai-ex-a2-greninja-a1,gyarados-ex-a1a-greninja-a1,91,76,11,178,53.2
gyarados-ex-a1a-greninja-a1,darkrai-ex-a2-greninja-a1,76,91,11,178,44.8
darkrai-ex-a2-greninja-a1,magnezone-a2-hitmonlee-a1,91,83,7,181,51.6
magnezone-a2-hitmonlee-a1,darkrai-ex-a2-greninja-a1,83,91,7,181,47.1
darkrai-ex-a2-greninja-a1,mewtwo-ex-gardevoir-a1,31,13,4,48,67.4
mewtwo-ex-gardevoir-a1,darkrai-ex-a2-greninja-a1,13,31,4,48,29.9
darkrai-ex-a2-greninja-a1,palkia-ex-a2-vaporeon-a1a,76,77,10,163,48.7
palkia-ex-a2-vaporeon-a1a,darkrai-ex-a2-greninja-a1,77,76,10,163,49.3
darkrai-ex-a2-greninja-a1,pikachu-ex-zebstrika-a1,10,11,1,22,47.0
pikachu-ex-zebstrika-a1,darkrai-ex-a2-greninja-a1,11,10,1,22,51.5
darkrai-ex-a2-greninja-a1,weavile-ex-darkrai-ex-a2,80,62,4,146,55.7
weavile-ex-darkrai-ex-a2,darkrai-ex-a2-greninja-a1,62,80,4,146,43.4
darkrai-ex-magnezone-a2,darkrai-ex-magnezone-a2,444,444,12,900,49.8
darkrai-ex-magnezone-a2,darkrai-ex-magnezone-a2,444,444,12,900,49.8
darkrai-ex-magnezone-a2,dialga-ex-a2-melmetal-a1,86,25,8,119,74.5
dialga-ex-a2-melmetal-a1,darkrai-ex-magnezone-a2,25,86,8,119,23.2
darkrai-ex-magnezone-a2,exeggutor-ex-a1-celebi-ex-a1a,136,146,7,289,47.9
exeggutor-ex-a1-celebi-ex-a1a,darkrai-ex-magnezone-a2,146,136,7,289,51.3
darkrai-ex-magnezone-a2,exeggutor-ex-a1-mew-ex-a1a,49,45,6,100,51.0
exeggutor-ex-a1-mew-ex-a1a,darkrai-ex-magnezone-a2,45,49,6,100,47.0
darkrai-ex-magnezone-a2,gyarados-ex-a1a-greninja-a1,207,175,11,393,53.6
gyarados-ex-a1a-greninja-a1,darkrai-ex-magnezone-a2,175,207,11,393,45.5
darkrai-ex-magnezone-a2,magnezone-a2-hitmonlee-a1,58,126,7,191,31.6
magnezone-a2-hitmonlee-a1,darkrai-ex-magnezone-a2,126,58,7,191,67.2
darkrai-ex-magnezone-a2,mewtwo-ex-gardevoir-a1,94,26,2,122,77.6
mewtwo-ex-gardevoir-a1,darkrai-ex-magnezone-a2,26,94,2,122,21.9
