deck1,deck2,wins,losses,ties,total,win_rate
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-a1a-farfetchd-a1,17,17,1,35,49.5
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-a1a-farfetchd-a1,17,17,1,35,49.5
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-primeape-a1a,44,22,1,67,66.2
aerodactyl-ex-primeape-a1a,aerodactyl-ex-a1a-farfetchd-a1,22,44,1,67,33.3
aerodactyl-ex-a1a-farfetchd-a1,arcanine-ex-moltres-ex-a1,17,19,4,40,45.8
arcanine-ex-moltres-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,19,17,4,40,50.8
aerodactyl-ex-a1a-farfetchd-a1,celebi-ex-serperior-a1a,28,47,6,81,37.0
celebi-ex-serperior-a1a,aerodactyl-ex-a1a-farfetchd-a1,47,28,6,81,60.5
aerodactyl-ex-a1a-farfetchd-a1,charizard-ex-arcanine-ex-a1,28,30,2,60,47.8
charizard-ex-arcanine-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,30,28,2,60,51.1
aerodactyl-ex-a1a-farfetchd-a1,charizard-ex-moltres-ex-a1,35,25,4,64,56.8
charizard-ex-moltres-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,25,35,4,64,41.1
aerodactyl-ex-a1a-farfetchd-a1,exeggutor-ex-a1-celebi-ex-a1a,40,80,8,128,33.3
exeggutor-ex-a1-celebi-ex-a1a,aerodactyl-ex-a1a-farfetchd-a1,80,40,8,128,64.6
aerodactyl-ex-a1a-farfetchd-a1,golem-druddigon-a1a,22,12,0,34,64.7
golem-druddigon-a1a,aerodactyl-ex-a1a-farfetchd-a1,12,22,0,34,35.3
aerodactyl-ex-a1a-farfetchd-a1,greninja-a1-mew-ex-a1a,17,22,2,41,43.1
greninja-a1-mew-ex-a1a,aerodactyl-ex-a1a-farfetchd-a1,22,17,2,41,55.3
aerodactyl-ex-a1a-farfetchd-a1,gyarados-ex-a1a-greninja-a1,155,58,12,225,70.7
gyarados-ex-a1a-greninja-a1,aerodactyl-ex-a1a-farfetchd-a1,58,155,12,225,27.6
aerodactyl-ex-a1a-farfetchd-a1,mewtwo-ex-gardevoir-a1,124,203,19,346,37.7
mewtwo-ex-gardevoir-a1,aerodactyl-ex-a1a-farfetchd-a1,203,124,19,346,60.5
aerodactyl-ex-a1a-farfetchd-a1,pikachu-ex-raichu-a1,22,10,5,37,64.0
pikachu-ex-raichu-a1,aerodactyl-ex-a1a-farfetchd-a1,10,22,5,37,31.5
aerodactyl-ex-a1a-farfetchd-a1,pikachu-ex-zebstrika-a1,115,122,16,253,47.6
pikachu-ex-zebstrika-a1,aerodactyl-ex-a1a-farfetchd-a1,122,115,16,253,50.3
aerodactyl-ex-a1a-farfetchd-a1,scolipede-a1a-weezing-a1,18,3,2,23,81.2
scolipede-a1a-weezing-a1,aerodactyl-ex-a1a-farfetchd-a1,3,18,2,23,15.9
aerodactyl-ex-a1a-farfetchd-a1,serperior-exeggutor-a1a,2,3,0,5,40.0
serperior-exeggutor-a1a,aerodactyl-ex-a1a-farfetchd-a1,3,2,0,5,60.0
aerodactyl-ex-primeape-a1a,aerodactyl-ex-primeape-a1a,68,68,6,142,49.3
aerodactyl-ex-primeape-a1a,aerodactyl-ex-primeape-a1a,68,68,6,142,49.3
aerodactyl-ex-primeape-a1a,arcanine-ex-moltres-ex-a1,32,42,6,80,42.5
arcanine-ex-moltres-ex-a1,aerodactyl-ex-primeape-a1a,42,32,6,80,55.0
aerodactyl-ex-primeape-a1a,celebi-ex-serperior-a1a,66,109,14,189,37.4
celebi-ex-serperior-a1a,aerodactyl-ex-primeape-a1a,109,66,14,189,60.1
aerodactyl-ex-primeape-a1a,charizard-ex-arcanine-ex-a1,60,54,4,118,52.0
charizard-ex-arcanine-ex-a1,aerodactyl-ex-primeape-a1a,54,60,4,118,46.9
aerodactyl-ex-primeape-a1a,charizard-ex-moltres-ex-a1,89,60,17,166,57.0
charizard-ex-moltres-ex-a1,aerodactyl-ex-primeape-a1a,60,89,17,166,39.6
aerodactyl-ex-primeape-a1a,exeggutor-ex-a1-celebi-ex-a1a,73,142,15,230,33.9
exeggutor-ex-a1-celebi-ex-a1a,aerodactyl-ex-primeape-a1a,142,73,15,230,63.9
aerodactyl-ex-primeape-a1a,golem-druddigon-a1a,15,24,4,43,38.0
golem-druddigon-a1a,aerodactyl-ex-primeape-a1a,24,15,4,43,58.9
aerodactyl-ex-primeape-a1a,greninja-a1-mew-ex-a1a,40,18,4,62,66.7
greninja-a1-mew-ex-a1a,aerodactyl-ex-primeape-a1a,18,40,4,62,31.2
aerodactyl-ex-primeape-a1a,gyarados-ex-a1a-greninja-a1,308,182,23,513,61.5
gyarados-ex-a1a-greninja-a1,aerodactyl-ex-primeape-a1a,182,308,23,513,37.0
aerodactyl-ex-primeape-a1a,mewtwo-ex-gardevoir-a1,197,406,37,640,32.7
mewtwo-ex-gardevoir-a1,aerodactyl-ex-primeape-a1a,406,197,37,640,65.4
aerodactyl-ex-primeape-a1a,pikachu-ex-raichu-a1,38,24,2,64,60.4
pikachu-ex-raichu-a1,aerodactyl-ex-primeape-a1a,24,38,2,64,38.5
aerodactyl-ex-primeape-a1a,pikachu-ex-zebstrika-a1,242,133,20,395,63.0
pikachu-ex-zebstrika-a1,aerodactyl-ex-primeape-a1a,133,242,20,395,35.4
aerodactyl-ex-primeape-a1a,scolipede-a1a-weezing-a1,30,8,1,39,77.8
scolipede-a1a-weezing-a1,aerodactyl-ex-primeape-a1a,8,30,1,39,21.4
aerodactyl-ex-primeape-a1a,serperior-exeggutor-a1a,5,7,2,14,40.5
serperior-exeggutor-a1a,aerodactyl-ex-primeape-a1a,7,5,2,14,54.8
arcanine-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,29,29,1,59,49.7
arcanine-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,29,29,1,59,49.7
arcanine-ex-moltres-ex-a1,celebi-ex-serperior-a1a,63,28,6,97,67.0
celebi-ex-serperior-a1a,arcanine-ex-moltres-ex-a1,28,63,6,97,30.9
arcanine-ex-moltres-ex-a1,charizard-ex-arcanine-ex-a1,32,42,4,78,42.7
charizard-ex-arcanine-ex-a1,arcanine-ex-moltres-ex-a1,42,32,4,78,55.6
arcanine-ex-moltres-ex-a1,charizard-ex-moltres-ex-a1,43,64,5,112,39.9
charizard-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,64,43,5,112,58.6
arcanine-ex-moltres-ex-a1,exeggutor-ex-a1-celebi-ex-a1a,123,68,8,199,63.1
exeggutor-ex-a1-celebi-ex-a1a,arcanine-ex-moltres-ex-a1,68,123,8,199,35.5
arcanine-ex-moltres-ex-a1,golem-druddigon-a1a,20,15,4,39,54.7
golem-druddigon-a1a,arcanine-ex-moltres-ex-a1,15,20,4,39,41.9
arcanine-ex-moltres-ex-a1,greninja-a1-mew-ex-a1a,20,18,1,39,52.1
greninja-a1-mew-ex-a1a,arcanine-ex-moltres-ex-a1,18,20,1,39,47.0
arcanine-ex-moltres-ex-a1,gyarados-ex-a1a-greninja-a1,81,248,20,349,25.1
gyarados-ex-a1a-greninja-a1,arcanine-ex-moltres-ex-a1,248,81,20,349,73.0
arcanine-ex-moltres-ex-a1,mewtwo-ex-gardevoir-a1,241,220,35,496,50.9
mewtwo-ex-gardevoir-a1,arcanine-ex-moltres-ex-a1,220,241,35,496,46.7
arcanine-ex-moltres-ex-a1,pikachu-ex-raichu-a1,29,15,3,47,63.8
pikachu-ex-raichu-a1,arcanine-ex-moltres-ex-a1,15,29,3,47,34.0
arcanine-ex-moltres-ex-a1,pikachu-ex-zebstrika-a1,173,104,9,286,61.5
pikachu-ex-zebstrika-a1,arcanine-ex-moltres-ex-a1,104,173,9,286,37.4
arcanine-ex-moltres-ex-a1,scolipede-a1a-weezing-a1,18,17,2,37,50.5
scolipede-a1a-weezing-a1,arcanine-ex-moltres-ex-a1,17,18,2,37,47.7
arcanine-ex-moltres-ex-a1,serperior-exeggutor-a1a,2,2,1,5,46.7
serperior-exeggutor-a1a,arcanine-ex-moltres-ex-a1,2,2,1,5,46.7
celebi-ex-serperior-a1a,celebi-ex-serperior-a1a,139,139,7,285,49.6
celebi-ex-serperior-a1a,celebi-ex-serperior-a1a,139,139,7,285,49.6
celebi-ex-serperior-a1a,charizard-ex-arcanine-ex-a1,32,112,8,152,22.8
charizard-ex-arcanine-ex-a1,celebi-ex-serperior-a1a,112,32,8,152,75.4
celebi-ex-serperior-a1a,charizard-ex-moltres-ex-a1,99,137,14,250,41.5
charizard-ex-moltres-ex-a1,celebi-ex-serperior-a1a,137,99,14,250,56.7
celebi-ex-serperior-a1a,exeggutor-ex-a1-celebi-ex-a1a,138,202,13,353,40.3
exeggutor-ex-a1-celebi-ex-a1a,celebi-ex-serperior-a1a,202,138,13,353,58.5
celebi-ex-serperior-a1a,golem-druddigon-a1a,52,20,12,84,66.7
golem-druddigon-a1a,celebi-ex-serperior-a1a,20,52,12,84,28.6
celebi-ex-serperior-a1a,greninja-a1-mew-ex-a1a,51,39,4,94,55.7
greninja-a1-mew-ex-a1a,celebi-ex-serperior-a1a,39,51,4,94,42.9
celebi-ex-serperior-a1a,gyarados-ex-a1a-greninja-a1,275,430,53,758,38.6
gyarados-ex-a1a-greninja-a1,celebi-ex-serperior-a1a,430,275,53,758,59.1
celebi-ex-serperior-a1a,mewtwo-ex-gardevoir-a1,363,556,69,988,39.1
mewtwo-ex-gardevoir-a1,celebi-ex-serperior-a1a,556,363,69,988,58.6
celebi-ex-serperior-a1a,pikachu-ex-raichu-a1,40,40,9,89,48.3
pikachu-ex-raichu-a1,celebi-ex-serperior-a1a,40,40,9,89,48.3
celebi-ex-serperior-a1a,pikachu-ex-zebstrika-a1,335,187,23,545,62.9
pikachu-ex-zebstrika-a1,celebi-ex-serperior-a1a,187,335,23,545,35.7
celebi-ex-serperior-a1a,scolipede-a1a-weezing-a1,32,21,4,57,58.5
scolipede-a1a-weezing-a1,celebi-ex-serperior-a1a,21,32,4,57,39.2
celebi-ex-serperior-a1a,serperior-exeggutor-a1a,3,5,0,8,37.5
serperior-exeggutor-a1a,celebi-ex-serperior-a1a,5,3,0,8,62.5
charizard-ex-arcanine-ex-a1,charizard-ex-arcanine-ex-a1,59,59,7,125,49.1
charizard-ex-arcanine-ex-a1,charizard-ex-arcanine-ex-a1,59,59,7,125,49.1
