deck1,deck2,wins,losses,ties,total,win_rate
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-a1a-farfetchd-a1,17,17,1,35,49.5
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-a1a-farfetchd-a1,17,17,1,35,49.5
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-primeape-a1a,36,20,2,58,63.2
aerodactyl-ex-primeape-a1a,aerodactyl-ex-a1a-farfetchd-a1,20,36,2,58,35.6
aerodactyl-ex-a1a-farfetchd-a1,arcanine-ex-moltres-ex-a1,23,20,5,48,51.4
arcanine-ex-moltres-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,20,23,5,48,45.1
aerodactyl-ex-a1a-farfetchd-a1,celebi-ex-serperior-a1a,29,49,3,81,37.0
celebi-ex-serperior-a1a,aerodactyl-ex-a1a-farfetchd-a1,49,29,3,81,61.7
aerodactyl-ex-a1a-farfetchd-a1,charizard-ex-arcanine-ex-a1,31,27,2,60,52.8
charizard-ex-arcanine-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,27,31,2,60,46.1
aerodactyl-ex-a1a-farfetchd-a1,charizard-ex-moltres-ex-a1,34,29,5,68,52.5
charizard-ex-moltres-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,29,34,5,68,45.1
aerodactyl-ex-a1a-farfetchd-a1,exeggutor-ex-a1-celebi-ex-a1a,52,97,6,155,34.8
exeggutor-ex-a1-celebi-ex-a1a,aerodactyl-ex-a1a-farfetchd-a1,97,52,6,155,63.9
aerodactyl-ex-a1a-farfetchd-a1,golem-druddigon-a1a,19,7,0,26,73.1
golem-druddigon-a1a,aerodactyl-ex-a1a-farfetchd-a1,7,19,0,26,26.9
aerodactyl-ex-a1a-farfetchd-a1,greninja-a1-mew-ex-a1a,21,17,2,40,54.2
greninja-a1-mew-ex-a1a,aerodactyl-ex-a1a-farfetchd-a1,17,21,2,40,44.2
aerodactyl-ex-a1a-farfetchd-a1,greninja-farfetchd-a1,10,16,1,27,38.3
greninja-farfetchd-a1,aerodactyl-ex-a1a-farfetchd-a1,16,10,1,27,60.5
aerodactyl-ex-a1a-farfetchd-a1,gyarados-ex-a1a-greninja-a1,162,55,12,229,72.5
gyarados-ex-a1a-greninja-a1,aerodactyl-ex-a1a-farfetchd-a1,55,162,12,229,25.8
aerodactyl-ex-a1a-farfetchd-a1,mewtwo-ex-gardevoir-a1,132,182,20,334,41.5
mewtwo-ex-gardevoir-a1,aerodactyl-ex-a1a-farfetchd-a1,182,132,20,334,56.5
aerodactyl-ex-a1a-farfetchd-a1,pikachu-ex-raichu-a1,26,12,4,42,65.1
pikachu-ex-raichu-a1,aerodactyl-ex-a1a-farfetchd-a1,12,26,4,42,31.7
aerodactyl-ex-a1a-farfetchd-a1,pikachu-ex-zebstrika-a1,106,121,17,244,45.8
pikachu-ex-zebstrika-a1,aerodactyl-ex-a1a-farfetchd-a1,121,106,17,244,51.9
aerodactyl-ex-a1a-farfetchd-a1,scolipede-a1a-weezing-a1,18,2,2,22,84.8
scolipede-a1a-weezing-a1,aerodactyl-ex-a1a-farfetchd-a1,2,18,2,22,12.1
aerodactyl-ex-primeape-a1a,aerodactyl-ex-primeape-a1a,48,48,4,100,49.3
aerodactyl-ex-primeape-a1a,aerodactyl-ex-primeape-a1a,48,48,4,100,49.3
aerodactyl-ex-primeape-a1a,arcanine-ex-moltres-ex-a1,24,39,6,69,37.7
arcanine-ex-moltres-ex-a1,aerodactyl-ex-primeape-a1a,39,24,6,69,59.4
aerodactyl-ex-primeape-a1a,celebi-ex-serperior-a1a,57,82,8,147,40.6
celebi-ex-serperior-a1a,aerodactyl-ex-primeape-a1a,82,57,8,147,57.6
aerodactyl-ex-primeape-a1a,charizard-ex-arcanine-ex-a1,53,44,4,101,53.8
charizard-ex-arcanine-ex-a1,aerodactyl-ex-primeape-a1a,44,53,4,101,44.9
aerodactyl-ex-primeape-a1a,charizard-ex-moltres-ex-a1,65,46,13,124,55.9
charizard-ex-moltres-ex-a1,aerodactyl-ex-primeape-a1a,46,65,13,124,40.6
aerodactyl-ex-primeape-a1a,exeggutor-ex-a1-celebi-ex-a1a,76,134,12,222,36.0
exeggutor-ex-a1-celebi-ex-a1a,aerodactyl-ex-primeape-a1a,134,76,12,222,62.2
aerodactyl-ex-primeape-a1a,golem-druddigon-a1a,14,17,1,32,44.8
golem-druddigon-a1a,aerodactyl-ex-primeape-a1a,17,14,1,32,54.2
aerodactyl-ex-primeape-a1a,greninja-a1-mew-ex-a1a,29,15,4,48,63.2
greninja-a1-mew-ex-a1a,aerodactyl-ex-primeape-a1a,15,29,4,48,34.0
aerodactyl-ex-primeape-a1a,greninja-farfetchd-a1,19,22,1,42,46.0
greninja-farfetchd-a1,aerodactyl-ex-primeape-a1a,22,19,1,42,53.2
aerodactyl-ex-primeape-a1a,gyarados-ex-a1a-greninja-a1,251,141,18,410,62.7
gyarados-ex-a1a-greninja-a1,aerodactyl-ex-primeape-a1a,141,251,18,410,35.9
aerodactyl-ex-primeape-a1a,mewtwo-ex-gardevoir-a1,169,320,27,516,34.5
mewtwo-ex-gardevoir-a1,aerodactyl-ex-primeape-a1a,320,169,27,516,63.8
aerodactyl-ex-primeape-a1a,pikachu-ex-raichu-a1,33,20,3,56,60.7
pikachu-ex-raichu-a1,aerodactyl-ex-primeape-a1a,20,33,3,56,37.5
aerodactyl-ex-primeape-a1a,pikachu-ex-zebstrika-a1,212,109,16,337,64.5
pikachu-ex-zebstrika-a1,aerodactyl-ex-primeape-a1a,109,212,16,337,33.9
aerodactyl-ex-primeape-a1a,scolipede-a1a-weezing-a1,18,4,1,23,79.7
scolipede-a1a-weezing-a1,aerodactyl-ex-primeape-a1a,4,18,1,23,18.8
arcanine-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,41,41,2,84,49.6
arcanine-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,41,41,2,84,49.6
arcanine-ex-moltres-ex-a1,celebi-ex-serperior-a1a,71,31,8,110,67.0
celebi-ex-serperior-a1a,arcanine-ex-moltres-ex-a1,31,71,8,110,30.6
arcanine-ex-moltres-ex-a1,charizard-ex-arcanine-ex-a1,35,51,4,90,40.4
charizard-ex-arcanine-ex-a1,arcanine-ex-moltres-ex-a1,51,35,4,90,58.1
arcanine-ex-moltres-ex-a1,charizard-ex-moltres-ex-a1,52,67,5,124,43.3
charizard-ex-moltres-ex-a1,arcanine-ex-moltres-ex-a1,67,52,5,124,55.4
arcanine-ex-moltres-ex-a1,exeggutor-ex-a1-celebi-ex-a1a,142,84,10,236,61.6
exeggutor-ex-a1-celebi-ex-a1a,arcanine-ex-moltres-ex-a1,84,142,10,236,37.0
arcanine-ex-moltres-ex-a1,golem-druddigon-a1a,15,13,5,33,50.5
golem-druddigon-a1a,arcanine-ex-moltres-ex-a1,13,15,5,33,44.4
arcanine-ex-moltres-ex-a1,greninja-a1-mew-ex-a1a,18,16,2,36,51.9
greninja-a1-mew-ex-a1a,arcanine-ex-moltres-ex-a1,16,18,2,36,46.3
arcanine-ex-moltres-ex-a1,greninja-farfetchd-a1,34,14,3,51,68.6
greninja-farfetchd-a1,arcanine-ex-moltres-ex-a1,14,34,3,51,29.4
arcanine-ex-moltres-ex-a1,gyarados-ex-a1a-greninja-a1,79,268,21,368,23.4
gyarados-ex-a1a-greninja-a1,arcanine-ex-moltres-ex-a1,268,79,21,368,74.7
arcanine-ex-moltres-ex-a1,mewtwo-ex-gardevoir-a1,262,248,41,551,50.0
mewtwo-ex-gardevoir-a1,arcanine-ex-moltres-ex-a1,248,262,41,551,47.5
arcanine-ex-moltres-ex-a1,pikachu-ex-raichu-a1,28,18,3,49,59.2
pikachu-ex-raichu-a1,arcanine-ex-moltres-ex-a1,18,28,3,49,38.8
arcanine-ex-moltres-ex-a1,pikachu-ex-zebstrika-a1,194,114,11,319,62.0
pikachu-ex-zebstrika-a1,arcanine-ex-moltres-ex-a1,114,194,11,319,36.9
arcanine-ex-moltres-ex-a1,scolipede-a1a-weezing-a1,17,17,2,36,49.1
scolipede-a1a-weezing-a1,arcanine-ex-moltres-ex-a1,17,17,2,36,49.1
celebi-ex-serperior-a1a,celebi-ex-serperior-a1a,130,130,6,266,49.6
celebi-ex-serperior-a1a,celebi-ex-serperior-a1a,130,130,6,266,49.6
celebi-ex-serperior-a1a,charizard-ex-arcanine-ex-a1,36,124,9,169,23.1
charizard-ex-arcanine-ex-a1,celebi-ex-serperior-a1a,124,36,9,169,75.1
celebi-ex-serperior-a1a,charizard-ex-moltres-ex-a1,94,130,15,239,41.4
charizard-ex-moltres-ex-a1,celebi-ex-serperior-a1a,130,94,15,239,56.5
celebi-ex-serperior-a1a,exeggutor-ex-a1-celebi-ex-a1a,152,195,15,362,43.4
exeggutor-ex-a1-celebi-ex-a1a,celebi-ex-serperior-a1a,195,152,15,362,55.2
celebi-ex-serperior-a1a,golem-druddigon-a1a,40,18,11,69,63.3
golem-druddigon-a1a,celebi-ex-serperior-a1a,18,40,11,69,31.4
celebi-ex-serperior-a1a,greninja-a1-mew-ex-a1a,53,42,6,101,54.5
greninja-a1-mew-ex-a1a,celebi-ex-serperior-a1a,42,53,6,101,43.6
celebi-ex-serperior-a1a,greninja-farfetchd-a1,30,26,2,58,52.9
greninja-farfetchd-a1,celebi-ex-serperior-a1a,26,30,2,58,46.0
celebi-ex-serperior-a1a,gyarados-ex-a1a-greninja-a1,272,407,48,727,39.6
gyarados-ex-a1a-greninja-a1,celebi-ex-serperior-a1a,407,272,48,727,58.2
celebi-ex-serperior-a1a,mewtwo-ex-gardevoir-a1,361,539,65,965,39.7
mewtwo-ex-gardevoir-a1,celebi-ex-serperior-a1a,539,361,65,965,58.1
celebi-ex-serperior-a1a,pikachu-ex-raichu-a1,38,39,4,81,48.6
pikachu-ex-raichu-a1,celebi-ex-serperior-a1a,39,38,4,81,49.8
celebi-ex-serperior-a1a,pikachu-ex-zebstrika-a1,338,171,20,529,65.2
pikachu-ex-zebstrika-a1,celebi-ex-serperior-a1a,171,338,20,529,33.6
celebi-ex-serperior-a1a,scolipede-a1a-weezing-a1,32,20,3,55,60.0
scolipede-a1a-weezing-a1,celebi-ex-serperior-a1a,20,32,3,55,38.2
charizard-ex-arcanine-ex-a1,charizard-ex-arcanine-ex-a1,62,62,8,132,49.0
charizard-ex-arcanine-ex-a1,charizard-ex-arcanine-ex-a1,62,62,8,132,49.0
